TripID,Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks,Profit_per_passenger,Profit
59771,2022-05-08,Inderlok,Kashmere Gate,12.94,77.99,18.27,13.0,Smart Card,maintenance,59.72,776.36
21363,2023-01-12,Model Town,Dilshad Garden,2.33,35.89,83.71,15.0,Tourist Card,maintenance,-47.81999999999999,-717.3
127325,2023-07-13,Kashmere Gate,Netaji Subhash Place,5.56,64.35,43.7,9.0,Single,off-peak,20.64999999999999,185.8499999999999
140510,2022-11-10,Chandni Chowk,Hauz Khas,4.02,144.13,14.98,27.0,Tourist Card,maintenance,129.15,3487.05
144298,2022-11-06,Rajiv Chowk,Kalkaji Mandir,9.66,104.96,83.84,23.0,Single,off-peak,21.11999999999999,485.75999999999976
96371,2024-07-10,Kalkaji Mandir,Shivaji Park,3.91,29.2,30.64,22.0,Tourist Card,,-1.4400000000000013,-31.680000000000028
49743,2022-09-02,Mandi House,Jasola Vihar,1.49,175.32,33.45,14.0,Tourist Card,peak,141.87,1986.18
47390,2023-12-07,Mandi House,Central Secretariat,7.38,167.59,50.69,18.0,Tourist Card,festival,116.9,2104.2000000000003
58379,2024-05-05,Aiims,Chandni Chowk,2.57,125.25,81.71,24.0,Single,weekend,43.540000000000006,1044.96
69048,2022-07-05,New Delhi,Jasola Vihar,7.58,151.39,37.76,19.0,Tourist Card,peak,113.63,2158.97
41981,2023-03-19,New Delhi,Model Town,1.04,114.49,107.94,16.0,Smart Card,festival,6.549999999999997,104.79999999999995
88783,2022-07-28,Rajiv Chowk,Kirti Nagar,5.84,66.97,114.12,24.0,Tourist Card,weekend,-47.150000000000006,-1131.6000000000001
70772,2023-02-16,Rajiv Chowk,New Delhi,2.71,157.05,93.1,21.0,Tourist Card,weekend,63.95000000000002,1342.9500000000003
20217,2024-04-06,Rajiv Chowk,Laxmi Nagar,1.54,162.06,64.45,11.0,Tourist Card,festival,97.61,1073.71
80725,2024-09-11,Rajouri Garden,Barakhamba Road,5.14,59.77,81.08,26.0,Smart Card,maintenance,-21.309999999999995,-554.0599999999998
96907,2022-07-17,Rajiv Chowk,Kalkaji Mandir,1.51,136.28,110.94,21.0,Tourist Card,off-peak,25.340000000000003,532.1400000000001
81422,2024-05-06,Rajiv Chowk,Janakpuri West,4.76,82.87,33.01,22.0,Smart Card,maintenance,49.86000000000001,1096.92
109510,2023-02-06,Laxmi Nagar,Netaji Subhash Place,2.54,178.92,109.15,26.0,Smart Card,,69.76999999999998,1814.0199999999995
1877,2023-10-09,Noida City Centre,Punjabi Bagh,5.54,31.78,68.13,15.0,Tourist Card,peak,-36.349999999999994,-545.2499999999999
46384,2024-08-04,Rajouri Garden,Hauz Khas,2.98,195.57,50.13,19.0,Single,maintenance,145.44,2763.36
7488,2024-11-18,New Delhi,Kalkaji Mandir,13.19,38.99,57.61,15.0,Smart Card,maintenance,-18.619999999999997,-279.29999999999995
